company_name	url	poa	city	state	country	year_founded	full_time_employees_low	full_time_employees_high	company_type	company_category	revenue_source	business_model	social_impact	description	description_short	source_count_low	source_count_high	data_types	data_comments	example_uses	data_impacts	requested_data	data_sources
Community Insight Australia	https://protect-au.mimecast.com/s/eHnUCmO5wZslvLYGSPelaz?domain=communityinsightaustralia.org	2010	Sydney	NSW	au	2014	1	10	Social Enterprise	Data/Technology	Subscriptions	Business to Business	Access to community data	"Community Insight Australia is a social enterprise that will translate the UK software tool Community Insight for use with Australian communities.
The tool will collate and map publicly available social data. It presents this data in a way that is easy to generate and analyse, providing user-defined reports, maps and information sets -in just a click of a button! We want to provide not-for-profits, housing providers, private businesses, local and state government agencies with the right information they need to design better targeted social programs.
Our mission is to enable social purpose organisation to access and understand information about the communities they work in."	A community data and GIS mapping tool for social purpose organisations.	1	10	"Demographics & Social, Economics, Education, Geospatial/Mapping, Health/Healthcare, Housing, Transportation"		Community Insight Australia uses the social indicators from open data to map this information to communities across Australia. We collate over 50 open datasets to create social profiles of communities through our web-tool. 	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities'"	"Report on government services data by smaller locations. 
State data on Education, Crime and Health down to a similar granularity as the ABS and standardised enough to be aggregated. 
Indigenous place-specific data 
Health data- chronic illness data and life expectancy at birth"	Treasury
Construction Skills Queensland	https://protect-au.mimecast.com/s/XhrhCnx1Z5UDnpLQt5W8pI?domain=csq.org.au	4101	West End	QLD	au	1998	11	50	Nonprofit	Construction	Statutory Training Levy	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Educational opportunity"	"Construction Skills Queensland's core programs focus on attracting, developing and retaining new entrants and existing workers to underpin the future prosperity of building and construction in Queensland. The core programs in the ATP are developed based on evidence-based information derived from a combination of emerging market conditions, industry consultation and learnings from program implementation.  CSQ also supports strategic and innovative skilling solutions to respond to emerging issues in the Queensland building and construction industry."	"Construction Skills Queensland (CSQ) is an independent industry-funded body supporting employers, workers, apprentices and career seekers in the building and construction industry."	11	50	"Demographics & Social, Economics, Geospatial/Mapping, Construction"	All of the above mentioned data sets are typically clean and released on a regular basis.  I often find there is quite a trade off between the detail and timeliness of the data. 	"CSQ uses a number of datasets from the ABS including industry information, building activity, engineering construction activity and demographics.  NCVER is used for apprentice and trainee data as well as VET in School data.  The LMIP is used for Internet Vacant Index data as well as Small Area Labour Market Data.  The Queensland Government: Queensland Government Statistician's Office is access for population projects.  CSQ also accesses QLD Globe, particularly the boundaries, location, planning cadastre and society category globes.  When they are made available it is likely we will also utilise the economy, structure and potentially utilities communication category globes."	"New/improved research', 'Helping to inform a time poor industry'"	"Up to date and DET data (e.g. apprentices and trainees).  User friendly construction project details.
Although we are interested and advocate open data, the usability and cleanliness of the data is also very important.  CSQ aims to inform and support a time poor industry for which accessing data can be rather intimidating; analysing and making sense of the data can also be a daunting task.  We�re interested in making data not only accessible, but also user friendly."	"Australian Bureau of Statistics, Department of Education and Training, Queensland Government"
Cook Medical	https://protect-au.mimecast.com/s/KP8QCoV1Y2SYkpGJi87VFw?domain=cookmedical.com	4113	Brisbane	QLD	au	1963	201	500	Private	Healthcare	"Manufacturing, sales and distribution of medical devices"	"Business to Business, Business to Government"	"Good governance, Healthcare access"	"Cook Medical is dedicated to bold leadership in pioneering innovative medical solutions to enhance patient care worldwide. That means w're always trying to find a better, simpler, more efficient way to treat patients.
In APAC we support the one Cook vision of delivering premium healthcare options to benefit people in APAC countries, by building sustainable, ethical businesses in the APAC Region through partnerships/alliances, a strong sense of urgency, and an unwavering focus on the customer. Also through building IT solutions that benefit, create efficiencies and bring down the cost of supplying and distributing medical devices. WE achieve this by partnering with hospitals in Australia and distributor / dealers in APAC."	Cook Medical is a medical device manufacturer of non-invasive technology and we pride in getting the device to the patient/hospital on time&to the right patient/place.	11	50	"Health/Healthcare, Manufacturing, Science and Research"	"If the data available allows to improve on current efficiencies, is kept up to date, it will allow companies such as Cook Medical to continue to innovate and excel in patient outcome related technologies that will benefit the healthcare sector overall by reducing costs, as patients can leave hospitals sooner."	"Cook Medical publishes its product catalogue on GS1's NPC (National Product Catalogue)in the NEHTA defined GS1 XML standard. 
Cook Medical publishes 6000 line items of medical devices which is accessible to hospitals through out Australia, thereby, enabling us to trade via EDI to more than 40% of Australian hospitals (B2B end to end trading including Purchase Orders, shipment advice, invoices, credit notes)."	"Cost efficiency', 'New or improved product/service', 'Revenue growth', 'efficiencies internally and also at hospitals'"	"Manufacturing, Supply Chain and Logistics, cutting edge healthcare related Information Technology resources, Hospital and Patient Care related and new disease states."	Department of Health (GS1)
Cribbing and Matting Co. Pty Ltd	https://protect-au.mimecast.com/s/wvfhCp81gYCo5ELPfErIfl?domain=cribandmatco.com.au	2154	Sydney	NSW	au	2013	1	10	Private	Mining/Manufacturing	B2B Sales	Business to Business	Environment and climate change	"Cribbing and Matting Co mission is to create value for our customers by delivering innovative safe cribbing, bloking, shoring, stabilisation systems and modular matting products manufactured from recycled plastic materials that would otherwise end up in landfill."	Start up with a very niche product portfolio sourced from the USA operating in a very competitive environment competing against multinationals.   	1	10	Business	Helps me understand potential in the Bowen Basin Region. 	Demographic information is used to help forecast sales. 	"Cost efficiency', 'Revenue growth'"	Approved and awaiting approval mining developments. 	Reserve Bank of Australia
Data Analysis australia	https://protect-au.mimecast.com/s/f0A0Cq71jxfN96rGuwzZyM?domain=daa.com.au	6009	Perth	WA	au	1988	11	50	Private	Research & Consulting	"Consulting, Data analysis for clients"	"Business to Business, Business to Government"	Good governance	"Data Analysis Australia is the leading strategic information consultancy in Australia. Our exceptional skills in mathematics, statistics and data management provide a strong background for work that is often used for strategic decision making purposes. Our reputation has been built on our ability to provide workable solutions to difficult problems across all industries."	Data Analysis Australia - a Strategic Information Consultancy  making statistics and mathematics relevant to decision makers.	11	50	"Demographics & Social, Energy, Geospatial/Mapping, Legal, Positioning/GPS, Tourism, Transportation, Weather"	Our work very much depends upon our clients needs.  Hence it is difficult to predict which data sources will be used far in advance.  However since most of our clients are in government it seems sensible that the government owned data should be freely available.	We complete over 100 data oriented projects a year.  If you want examples see our website since 200 words cannot do it justice.	"Cost efficiency', 'New or improved product/service'"	"Demographic (Census etc)
Social Research
Weather"	"Bureau of Meteorology, Australian Bureau of Statistics, Department of Social Services"
Deloitte	https://protect-au.mimecast.com/s/Fli2Cr810kCZx3jXfwuMwP?domain=deloitte.com	2000	Sydney	NSW	au	1900	5001	10000	Private	Consulting	"Consulting, Data analysis for clients, Government contract"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Financial access, Good governance, Healthcare access, Public safety"	"Deloitte is the brand under which thousands of professionals across a network of member firms collaborate to provide audit, economics, financial advisory, human capital, tax and technology services."	Not just an accounting firm.	51	100	"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather"		"We widely use many open data sources; geospatial, a-spatial and non-spatial. These are used for many purposes but all used to help people and organisations perform in an improved more efficient manner."	"Cost efficiency', 'Revenue growth', 'Identify new opportunities', 'New/improved research', 'helps other organistions grow'"	"I would flip this question back to you, I think all data should be available unless a good case is put forward as to why it shouldnt be. However any master datasets like GNAF, must have revenue plans to keep the data upto date and to continue improving it."	Bureau of Meteorology
Elafent	elafent.com	2027	Sydney	NSW	au	1998	11	50	Private	Data/Technology	"Government contract, Software licensing, Subscriptions, User fees for web or mobile access, Cloud and SaaS"	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Financial access, Food access and supply, Good governance, Healthcare access, Housing access, Public safety"	"Elafent's three pillars of capability are Government Transparency, Asset Management & Information Access.
A great example of a product Elafent has taken to market is Crimtelligence - built for government to deliver crime statistics to the world easily and cost effectively. Users can access and share crime statistics through insightful maps, tables and charts via a scalable, cost effective, secure cloud platform. See our demo at https://protect-au.mimecast.com/s/ecp6Cvl1g2S8v0goSNHeJq?domain=app.crimtelligence.com. There is also an insightful blog available on Public Crime Reporting - The benefits and challenges of delivering crime statistics, on the Crimtelligence site.
Further in the Government Transparency space this technology translates directly to health, emergency services, agriculture, tourism, finance, census, population, employment, building & infrastructure, education, people & communities, transport and the environment.
In addition, Elafent also delivers products in the areas of Asset Mapping and Information Access which apply directly to Government and Open Data initiatives."	"Elafent is an Australian technology business that develops and markets solutions in the areas of Government Transparency, Asset Management & Information Access."	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather"	"Whilst we have kept the list short, we could use data from most if not all agencies to deliver as significantly better level of transparency through our products and believe we offer strategic value to the Open Data 500 Australia."	"Data is made readily available by government and organisations, but it's typically cumbersome and unintuitive to comprehend. Most consumers lack the knowledge, time or cost effective means to make the information tractable. Data sets and statistics are widely available for download, typically in CSV or other similar format, which is simple but not effective.

We believe open data is the lifeblood of government transparency and the demand for improved transparency is increasing along with the volume and complexity of data.

By using open data, Elafent's products -

* Promote awareness. Enabling the public to search and compare statistics of interest for a variety of reasons across many geographical locations.
* Improve community engagement. Building trust with the community by being transparent and providing an effective channel for clearly communicating this information.
* Improve decision making. Empowering people to make more informed decisions by providing access to complex information through easy to understand interfaces.
* Reduce FOI requests. Enabling people to self serve and find information they need so they don't need to raise formal information requests.
* Lower costs to transparency. By simply loading data into the platform and the rest is done through the system."	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	"In our business, as much as possible."	"New South Wales Government (NSW Bureau of Crime Statistics and Research), Australian Taxation Office, Parliamentary Departments, Australian Capital Territory Government (ACT Emergency Services Agency)"
Enviro First Solutions 	https://protect-au.mimecast.com/s/U00cCwV1jpSxoZQXUnM2wL?domain=envirofirstsolutions.com.au 	4170	Brisbane 	QLD	au	2013	1	10	Private		Lead generation to other businesses	"Business to Business, Business to Consumer, Business to Government"	Environment and climate change	"Enviro-First Solutions is committed to providing our customers with an outstanding range of quality spill control products and services to meet their needs. We have the most comprehensive range of quality absorbent and spill kits available. From Easy Bags, to land and marine containment products, we have what you need.

Whatever the spill control requirement, Enviro-First has the solutions and capabilities to operate on a nationwide scale."	Product and service provider. 							-	-
Enviro-dynamics Pty Ltd	https://protect-au.mimecast.com/s/h_CpCxngGkfvZq0KF6j3Q1?domain=enviro-dynamics.com.au	7001	Hobart	TAS	au	2009	1	10	Private	Environment & Weather	Consulting	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Educational opportunity, Environment and climate change"	"To provide environmental solutions in a changing environment. To help business steer through the green tape. To support government to deliver timely and sustainable environmental policy and practice outcomes. Providing services in flora and fauna survey, natural resource management, community facilitation and extension services (both Agricultural and environmental), data analysis and protected area management.  "	Providing environmental solutions for a changing world.	1	10	"Agriculture & Food, Demographics & Social, Environment, Geospatial/Mapping, Positioning/GPS, Science and Research"	DoE data is of limited use. The Atlas of living Australia is a fabulous resource.	We regularly use environmental datasets to support environmental survey work and planning.	"Cost efficiency', 'New or improved product/service', 'New/improved research'"	"Property information, detailed land use and census data"	"Department of the Environment, Australian Bureau of Statistics"
ENVORINEX	envorinex.com	7253	George Town	TAS	au	2008	1	10	Private	Mining/Manufacturing		"Business to Business, Business to Consumer, Business to Government"	Environment and climate change	"Envorinex is a plastics extrusion and injection moulding company using virgin and recycled materials for the production of innovative components and products 95% of which leave Tasmania with 40% exported.
Envorinex was the first Australian manufacturer to initiate an end of product life take-back program and is a leader in collecting and converting intra and interstate recyclate into new life problem solving products.
Envorinex uses open data resources as a basis for new product R&D coupled with potential sales generation avenues.   "	"A plastics extrusion and injection moulding company providing an end of use product take back loop,converting virgin and recycled materials into innovative products."							-	-
Gas Generators Australia 	https://protect-au.mimecast.com/s/85HxCyoj8PuoYmWEfmsMJ5?domain=gasgen.com.au	6090	Perth	WA	au	2008	11	50	Private	Healthcare	"Consulting, Sales of Products to industry"	"Business to Business, Business to Consumer, Business to Government"	"Environment and climate change, Healthcare access"	"We are proud to be Australia's fastest growing Gas Generation company offering the world's leading Nitrogen, Oxygen and Hydrogen generation solutions. We work with the likes of Shell, Petronas and BHP.  We also work with hospitals, power stations, tyre servicing companies and virtually any company or industry that has a constant requirement for cost effective onsite gas supply. "	"We supply Nitrogen Oxygen and Hydrogen Gas Generating systems to the healthcare, defence, oil and gas and marine industries.  Saving our clients money."	11	50	"Energy, Environment, Health/Healthcare, International/Global Development, Manufacturing, Transportation"	"There seems to be adequate agencies and sub agencies on the list - it would be good to drill into the specifics though.
How bought into the concept are the agencies?? Do they know that their data will be open source and if so will they provide it and to what level of detail will they provide it. "	We provide open data for projects on an ongoing basis - we also have a Facebook page and email updates that educate the market about better ways they can benefit projects and industrial processes	"Cost efficiency', 'New or improved product/service', 'Identify new opportunities', 'New/improved research'"	Information on oxygen usage and cost of supply for regional and remote communities.  Defence usage of oxygen  and cost of supply.	"Western Australia Government (Water Corporation), Australian Institute of Health and Welfare"
Geospatial Information & Technology Association	aecom.com	2015	Sydney	NSW	au	1966	1	10	Nonprofit	Data/Technology	Membership fees	"Business to Government, Industry Association"	Educational opportunity	"The Geospatial Information & Technology Association (GITA) is a worldwide not-for-profit organisation that provides excellence in education and information exchange on the use and benefits of geospatial information and location-aware technologies for asset and infrastructure management. We hold regional seminars and workshops throughout Australia and New Zealand.

GITA Purpose

GITA was established in 1996 to:

(i) foster and promote the benefits of geospatial technologies for the management of infrastructure assets; and

(ii) disseminate information and provide a learning forum focused on the optimal use and benefits of using geospatial technologies in the management of infrastructure assets.

"	GITA ANZ provides excellence in education and information exchange on the use of geospatial information and technologies for infrastructure management in the ANZ region	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Positioning/GPS, Science and Research, Public Safety, Transportation, Weather, Imagery, Geology, Cultural Heritage, Topographic"	Datasets support all phases of the asset lifecycle from planning through to disposal of infrastructure assets. Refer above	"We do not use data as an association, however our member organisations do, and these are typically Utilities, Local and State government, software vendors and engineering consultancies such as AECOM who I am employed by.

Data is used for many purposes to contribute to all stages of the asset lifecycle - plan, build, maintain, operate, refurbish, replace, dispose. 

3rd party data to support planning such as soils, human infrastructure (e.g. roads, rail, geology, BOM/climate, environmental etc.)typically comes from government organisations.

Answers below are based on the type of data that our member organisations use."	"Cost efficiency', 'New or improved product/service', 'Revenue growth', 'Identify new opportunities', 'New/improved research', 'Inform and enable effective business decisions'"	"1. High and Medium Res Imagery - including LiDAR and Multispectral 
2. Administrative boundaries (e.g. cadastre, state, LGA, electoral, statistical, suburb/localities, planning, maritime)
3. Environmental/Ecology (e.g. biodiversity planning, corridors, habitat, regional ecosystems, wetlands, protected areas, koala planning areas, nature refuges, land vegetation, conservation)
4. Geological (e.g. soils, acid sulfate)
5. Transportation (e.g. roads, tram, rail, ferry routes)
6. Water (e.g. ground water, waterways, drainage, rivers/creeks, catchments, dams/lakes, water bodies)
7. Mining (e.g. tenures, leases)
8. Agriculture (e.g. grazing land management, strategic cropping land, priority agriculture areas)
9. Topographic and bathymetry
10. Climate (e.g. BOM/rainfall)
11. Cultural Heritage 
12. Demographics (ABS Census, population)
13. Hazards (e.g. fireant restricted zones, bushfire 
14. Addressing (e.g. Gazetteer) - e.g. PSMA Data"	"Queensland Government, New South Wales Government, Western Australia Government, Victorian Government, Australian Capital Territory Government, Tasmanian Government, Government of South Australia, Northern Territory Government, Bureau of Meteorology"
Google Australia New Zealand	https://protect-au.mimecast.com/s/i0y7CzvkmpfqKNBvSLJVc9?domain=google.com.au	2009	Pyrmont	NSW	au	2002	1001	5000	Public	Data/Technology	Advertising	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Educational opportunity"	"Google is a global technology company that provides a variety of services for people and business.  With all our technologies our goal is to make it as easy as possible for you to find the information you need and get the things you need to do done. Google's business is focused on areas such as search and display advertising, the Android operating system platform, consumer content through Google Play, enterprise, commerce and hardware products. Google provides a variety of tools to help businesses of all kinds succeed on and off the web and these programs form the backbone of our own business. Google's advertising programs help businesses find customers, and help publishers make money off their content. Google also provides cloud computing tools for businesses that save money and help organisations be more productive. Google builds products that we hope will make the web better - and therefore your experience on the web better. Google wants to make it simpler and faster for people to do what they want online. Google is committed to an open Internet and we are involved in various projects to make it easier for developers to contribute to the online ecosystem and move the web forward."	Google's mission is to organize the world's information and make it universally accessible and useful.			"Geospatial/Mapping, Public Safety, Transportation"		"Google Maps has partnered with governments in every Australian State and Territory (as well as many private transport providers) to use public transport data to give consumers the information they need in the format they want it to plan their most efficient route. Providing open access to public transport data has allowed developers to create useful applications for riders that make using public transport more appealing.
Google Public Alerts is Google's platform for disseminating emergency messages such as evacuation notices for everyday alerts such as bush fire warnings. Google aims to show relevant official weather, public safety and earthquake alerts around the world when you search on Google Search, Google Maps, and when you activate Google Now on your Android device.
However the Creative Commons licensing arrangements for Australian Government data are not fit for purpose and prevent Google from efficiently using the data. With the exception of crisis response data, Google has had to enter into separate, less restrictive content license arrangements with various agencies to use transit, map and other data provided by governments. This requires considerable time and effort to negotiate separate deals and considerably slows down Google's ability to access and use the data sets."	"Cost efficiency', 'New or improved product/service', 'Identify new opportunities'"	"Google continues to be interested in transit data, real time transit data and geospatial data. There are also datasets that are not open in Australia that are open in other countries including nautical navigation/chart data and bathymetric data."	Transport NSW
GovHack	https://protect-au.mimecast.com/s/YCdNCANpnDCOjJoMHWWvPD?domain=govhack.org	2600	Virtual	ACT	au	2012	1	10	Nonprofit	Data/Technology	"Government contract, No revenue, just competition and prototyping"	Community events	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Financial access, Food access and supply, Good governance, Healthcare access, Housing access, Public safety, Startup development, community development, skills development, gov to community engagement"	GovHack is Australia's largest hackfest. It runs annually and includes thousands of developers working with Government data.	https://protect-au.mimecast.com/s/YCdNCANpnDCOjJoMHWWvPD?domain=govhack.org	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather, All government data we can find"	"Again, best if we share the anonymised user research we did about government data used in the competition. Please email info@govhack.org or my email for full information."	"We use open data to build hundreds of prototypes each year to solve real world problems in Australia. Some of these go on to be commercialised, turned into community projects, or just to create innovative solutions to agency issues."	"New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research'"	"Budget data, financial data, spatial data, services data. Happy to share our user surveys for this project."	Department of Finance (data.gov.au)
GreenBizCheck	https://protect-au.mimecast.com/s/423nCBNqgBCKvJm3SB8COG?domain=greenbizcheck.com	4223	Currumbin Valley	QLD	au	2007	1	10	Private	Data/Technology	"Consulting, Software licensing"	"Business to Business, Business to Government"	"Educational opportunity, Environment and climate change, Good governance"	"GreenBizCheck provides cloud-based Supply Chain Management / Procurement, CSR Certification and Data Management solutions to help businesses reduce risk and cost. Our programs are designed to make an organisation more efficient and free up resources. "	"GreenBizCheck provides cloud-based Supply Chain Management / Procurement, CSR Certification and Data Management solutions to help businesses reduce risk and cost. "	1	10	"Business, Energy, Environment, Health/Healthcare"	Our experience to date is that most systems are cumbersome and could be streamlined to allow smaller organisations such as ours to retrieve the information we are looking for in a much more efficient manner. 	"State and Federal tenders, RFPs and RFQs"	"Job growth', 'Revenue growth', 'Identify new opportunities'"	"Transparent and central tenders, RFPs and RFQs with more efficient application processes. "	"Australian Human Rights Commission, Australian Capital Territory Government (Shared Services Procurement, Treasury Directorate), Department of the Environment"
Herron Todd White	https://protect-au.mimecast.com/s/UyKxCD1vRkCAXrmQCNTh4d?domain=htw.com.au	4032	Chermside	QLD	au	1974	501	"1,000"	Private	Housing/Real Estate	Data analysis for clients	"Business to Business, Business to Consumer, Business to Government"	"Financial access, Housing access"	"Herron Todd White is the largest independent property valuation and advisory group in Australia. Our objective is to provide the highest level of client service with integrity, professionalism and independence.
We provide a comprehensive range of valuation, research and advisory services which are used by financial institutions, solicitors, accountants, property developers and corporations. We cater for all property valuation and consulting requirements, from individual residential properties to major development projects and corporate and government portfolios."	Herron Todd White is the largest independent property valuation and advisory group in Australia.	11	50	"Geospatial/Mapping, Housing, Positioning/GPS"	"The ABS datasets are high quality and well defined, making re-use very possible.
Unfortunately as data sets are closely tied to the census, it means they age and no longer reflect the reality on the ground as well as it could."	"Spatial data from ABS and other sources tends to be used most heavily, to plan where our staff will work and underpinning broader analysis."	"Cost efficiency', 'New or improved product/service'"	"In particular, the GNAF and related data sets are a common data expense for us and many others in the industry. Frustratingly, the current state of the data delivery makes it harder, not easier, to integrate diverse datasets using it due to commercial concerns."	Australian Bureau of Statistics
IAG Ltd	https://protect-au.mimecast.com/s/Gtq2CE8wlRCxBoGKUvXLsP?domain=iag.com.au	2000	Sydney	NSW	au	2000	5001	10000	Public	Insurance	General insurance premiums	"Business to Business, Business to Consumer, Business to Government"	"Citizen engagement and participation, Consumer empowerment, Educational opportunity, Environment and climate change, Financial access, Good governance, Public safety"	"IAG is a general insurance company whose purpose is to help make your world a safer place, whether you are a customer, partner, employee, shareholder or part of the communities IAG serves across Australia, New Zealand and Asia.
Our businesses have helped people recover from natural disasters, accidents and loss since 1851. We employ more than 15,000 people in our operations in Australia, New Zealand, Thailand and Vietnam, providing insurance under many leading brands, including NRMA Insurance, CGU, SGIO, SGIC, Swann, WFI and Lumley Insurance (Australia); NZI, State, AMI and Lumley Insurance (New Zealand); Safety and NZI (Thailand); and AAA Assurance (Vietnam).  We also have interests in general insurance joint ventures in Malaysia, India and China.

Last year, we insured $1,420 billion worth of assets on behalf of millions of customers, and we paid $6,898 million in claims.

Increasingly, we see our role extending beyond paying claims to increasing awareness of risk, and helping communities reduce and prevent risk. We believe it is our responsibility as an industry leader to use our influence and role as a major investor, purchaser and employer for the good of everyone.

For further information please visit https://protect-au.mimecast.com/s/DYxfCGv0Z6f4wZlos9sJ1-?domain=iag.com.au
"	"IAG is the parent company of a general insurance group with controlled operations in Australia, New Zealand, Thailand and Vietnam, employing more than 15,000 people."	101		"Demographics & Social, Environment, Geospatial/Mapping, Science and Research, Public Safety, Weather"	"The open government data that is available is useful and an important input into IAG’s understanding of risk and customer needs, as well as how IAG responds to customers during major disasters.
However whilst data is generally available in a usable form, in some circumstances the datasets are incomplete (e.g. flood data), or a web service is unavailable or performs poorly (e.g. some Geoscience Australia services).  It would be beneficial to see these issues resolved.
A lack of completeness of metadata for all open (and closed) datasets created by Government or with government funding also creates issues. Finding and understanding what data is available at all levels of government is complex and time-consuming. Duplication and inefficiency in many datasets created by all levels of government is commonplace. It would be ideal to have more coordination, transparency and governance by the various governments to identify owners, creators and the locations of all open datasets and the research that creates them.  https://protect-au.mimecast.com/s/B-1hCJyBZ6twxLzPtwbpNV?domain=data.gov.au facilitates this to some degree, but missing datasets & metadata limits its usefulness.
Regarding geospatial web services it would be good if more spatial data was available as standards based vector web services such as GeoJSON or WFS this would allow for example dynamic analysis of the weather as well as visualisation.  Most spatial web services are currently WMS based, which only allows for visualisation."	"IAG uses natural hazard and census demographic information to improve their understanding of risk.  This, in turn, allows IAG to provide premiums that accurately and fairly represent a customer's risk.  As part of this, IAG uses a significant amount of natural hazard flood data from many sources at the local and state government levels.

IAG uses natural hazard and weather information to get a clearer understanding of the impact of a major event, such as a cyclone, bushfire or flood, before, during and after they strike.  This allows IAG to scale their major event response rapidly to help affected customers recover from the event quickly, as well as notify our business partners, such as reinsurers, and the share market of the impact.

IAG also has specialised teams with advanced analytics capabilities who use census demographics to deliver market leading insights to enhance and constantly improve the customer experience.
"	"Cost efficiency', 'New or improved product/service', 'Revenue growth'"	"National, consistent natural hazards datasets:  Whilst IAG currently uses some natural hazards open data � its typically delivered in disparate datasets, is of varying quality and doesn�t always adhere to a standard.  Having national, consistent datasets would allow governments, business and the community to use the data more readily and to better understand the risks.
Emergency response datasets: Access to emergency response data, real-time and post-event, would allow IAG to gain a more immediate and clearer view of an event�s impact.  This would allow IAG to help its affected customers faster and provide more certainty to our business partners (e.g. reinsurers) and shareholders.
Building attributes: To understand the risk of natural perils and non-natural perils (e.g. burglary) at a more granular level, as well as provide customers a better experience through a simpler quoting process and to avoid underinsurance:  a better understanding of the assets IAG insures is needed.
Examples of building attribute data required includes:  construction type, number of bedrooms & high-resolution elevation data. GA�s NEXIS dataset, currently unavailable to non-government users due to licensing, is a good example of this.
Motor Vehicle data: Access to de-identified motor vehicle registration data and accident data would be beneficial to reducing risk in the community.  Registration data would allow IAG to better identify individual motor vehicles and simplify the quoting process. Granular Accident data would allow IAG�s advanced analytics teams to identify blackspots to drive a public education program to inform drivers of the potential risk for accidents in their local area."	"Geoscience Australia, Australian Bureau of Statistics (2011 Census datapacks and ASGS boundaries), Bureau of Meteorology (Cyclone Track Maps), NSW Rural Fire Service (Major Incidents RSS feed)"
IBM	https://protect-au.mimecast.com/s/r8DXCK1DOrCWLxw0f9vkL5?domain=ibm.com.au	2065	Sydney	NSW	au	1932	10001		Private	Data/Technology	"Consulting, Data analysis for clients, Government contract, Software licensing, IT company"	"Business to Business, Business to Government"	Citizen engagement and participation	"For more than a century, IBM has focused on helping build a smarter planet. With operations in over 170 countries, IBMers around the world invent and apply software, hardware, business consulting, and technology services to help forward-thinking enterprises, institutions and people solve their most complex problems.
In Australia, IBM has been operating for over eighty years and has significantly invested in the local economy. With natural resources, digital transformation, and sustainable cities at the forefront of the national agenda, IBM's global expertise and innovation is helping Australia compete in the world economy."	IBM is a global technology and innovation company that stands for progress. 	101		"Agriculture & Food, Business, Consumer, Demographics & Social, Economics, Education, Energy, Environment, Finance, Geospatial/Mapping, Government Operations, Health/Healthcare, Housing, International/Global Development, Legal, Manufacturing, Positioning/GPS, Science and Research, Public Safety, Tourism, Transportation, Weather, IBM is very data hungry, rely on both structured and unstructured data"	All data the sets are relevant and there should be much more.  	"Data is fundamental to IBM's growth and investment strategy.  The following link provides really useful information about the need for data and how it can drive growth and transformation for IBM its clients:
https://protect-au.mimecast.com/s/8U1hCL7Eg9f9LMO5H7c43R?domain=ibm.com"	"Cost efficiency', 'New or improved product/service', 'Job growth', 'Revenue growth', 'Identify new opportunities', 'New/improved research', 'Cognative computing through Watson'"	"All that can be made available, but as a priority: weather census, energy, resource extraction, health capacity, infrastructure inventories, freight transactions, government employment and salaries, law enforcement actions."	"Australian Bureau of Statistics, Australian Taxation Office, Finance, Independent Hospital Pricing Authority"
